Company,City,Year,Deposit Ratio,Equity to Assets Ratio,LLP,Loan Ratio,NPL,ROAA,ROAE,Standard Deviation of ROAA,Total Assets EUR,Total Customer Deposits EUR,Z-Score,Unnamed: 14,Unnamed: 15,Unnamed: 16,GDP,INF,month,GPR,GPRT,GPRA,Ln_Total Assets EUR,Ln_Equity to Assets Ratio,Ln_Loan Ratio,Ln_LLP,Ln_Deposit Ratio
ABANCA CORPORACION BANCARIA SA,BETANZOS,2020,0.679514461,7.905280488,1.588781979,62.48727248,2.761542597,0.737337729,8.884094467,0.046011166,58879.315,40009.346,5.235576737,,,,-4.894555993157895,0.3124536947368421,2020-06-16 08:00:00,77.29380416870117,97.4657351175944,49.32102219263712,10.983245119503563,2.067530952384893,4.1349628956848505,0.46296767172178555,-0.3863767637925222
ABANCA CORPORACION BANCARIA SA,BETANZOS,2021,0.655314467,6.78828721,1.635778943,57.99713896,2.015397573,0.251488631,3.440794751,0.258443885,67417.448,44179.629,3.304653016,,,,6.936355121315789,2.564898000105263,2021-06-16 12:00:00,82.07023620605469,103.8860009511312,54.54721323649088,11.11865913580228,1.9151986579088152,4.060393681053878,0.49211910863532166,-0.42264005626903905
ABANCA CORPORACION BANCARIA SA,BETANZOS,2022,0.63488775,5.614164359,1.813243229,57.1231657,2.126282162,0.433456221,7.048854522,0.200417764,80496.913,51106.504,3.407016173,,,,3.122957375,9.903684152631579,2022-06-16 12:00:00,157.5831934611003,199.2730185190836,124.7958981196086,11.29597411484527,1.7252927541409926,4.045209738414359,0.5951170810754522,-0.454307067368939
ABANCA CORPORACION BANCARIA SA,BETANZOS,2023,0.658521126,5.805796422,1.70501018,59.39119198,2.052086957,0.277170499,4.856455512,0.080413507,76050.772,50081.04,4.326065674,,,,-0.5379984658333333,5.977745703,2023-06-16 12:00:00,121.7001794179281,133.942325592041,116.1908276875814,11.23915644885222,1.758856801604996,4.084145932208581,0.5335710813921425,-0.417758676308862
ABC FACTORS AE,ATHENS,2017,0.009112071,19.55484113,1.029332858,98.94946753,9.855544538,1.797638404,8.861631997,0.199772281,527.542,4.807,4.877746545,,,,3.413880947789474,1.650400191421053,2017-06-16 12:00:00,107.377311706543,117.4666633605957,93.90502103169759,6.26822848303373,2.9732228839095813,4.594609290831468,0.028910881706748725,-4.698155260944874
ABC FACTORS AE,ATHENS,2018,0.023351543,24.43932905,1.180043686,99.29543134,2.354213261,1.758199363,8.0565325,0.069487734,457.443,10.682,5.932270103,,,,2.726027871052632,1.703560482631579,2018-06-16 12:00:00,98.5529073079427,122.8477579752604,65.44431845347087,6.125652286789642,3.1961936809805653,4.598099561332072,0.1655514598261732,-3.757092215680059
ABC FACTORS AE,ATHENS,2019,0.009432331,22.58535634,1.104344058,99.49030832,1.551018319,2.244320026,9.577805818,0.190988909,543.662,5.128,4.867579488,,,,2.222830119736842,1.440696388105263,2019-06-16 12:00:00,90.94625282287598,112.7704283396403,60.5952517191569,6.298327730225077,3.117301746710681,4.600060235601392,0.09925154604227598,-4.663612023063417
ABC FACTORS AE,ATHENS,2020,0.007836409,23.62112101,1.193292851,99.12780022,1.222462656,2.020857439,8.750908508,0.198672844,522.816,4.097,4.860326597,,,,-4.894555993157895,0.3124536947368421,2020-06-16 08:00:00,77.29380416870117,97.4657351175944,49.32102219263712,6.259229585719404,3.162141269846234,4.596409928938099,0.17671658742605934,-4.848974585264506
ABC FACTORS AE,ATHENS,2021,0.011908014,31.43615922,1.472946106,98.53079859,1.465345029,1.786832494,6.591774354,0.186785095,420.977,5.013,5.181038706,,,,6.936355121315789,2.564898000105263,2021-06-16 12:00:00,82.07023620605469,103.8860009511312,54.54721323649088,6.04257820036103,3.4479587978848545,4.590369175345686,0.387264548895321,-4.430543660149083
ABC FACTORS AE,ATHENS,2022,0.009213535,23.9941183,0.92124225,98.52396454,0.927054504,1.740712337,6.423682209,0.122644936,588.265,5.42,5.346307151,,,,3.122957375,9.903684152631579,2022-06-16 12:00:00,157.5831934611003,199.2730185190836,124.7958981196086,6.377177526644885,3.1778087294798483,4.5902998134089925,-0.08203224799701513,-4.687081680423035
ABC FACTORS AE,ATHENS,2023,0.004260427,20.72391216,0.74755153,99.38560602,0.751011776,1.271807902,5.730759572,0.232677356,721.524,3.074,4.548950415,,,,-0.5379984658333333,5.977745703,2023-06-16 12:00:00,121.7001794179281,133.942325592041,116.1908276875814,6.581365641693954,3.0312882103795755,4.5990072945248315,-0.29095203963845434,-5.45838588898224
ABH FINANCIAL LIMITED,NICOSIA,2017,0.460427857,9.860900702,6.074749046,58.20364504,7.808274994,0.071573422,0.724160632,0.925695215,35883.35269,16521.69516,2.70731302,,,,3.413880947789474,1.650400191421053,2017-06-16 12:00:00,107.377311706543,117.4666633605957,93.90502103169759,10.488028753557602,2.2885775135296913,4.063947982329508,1.804140679072948,-0.7755990978831605
ABH FINANCIAL LIMITED,NICOSIA,2018,0.563965682,13.8036225,6.739378929,62.22116301,13.12630977,1.279385895,11.11111111,0.760311924,28906.0364,16302.01252,2.987595342,,,,2.726027871052632,1.703560482631579,2018-06-16 12:00:00,98.5529073079427,122.8477579752604,65.44431845347087,10.271805724262128,2.6249310577160623,4.1306951831945105,1.907967773645776,-0.572761876853094
ABH FINANCIAL LIMITED,NICOSIA,2019,0.567913823,14.99202552,4.90040012,57.79276806,9.095211462,1.511826384,10.45842429,0.683930538,36284.04893,20606.21295,3.183492721,,,,2.222830119736842,1.440696388105263,2019-06-16 12:00:00,90.94625282287598,112.7704283396403,60.5952517191569,10.499133500262202,2.707518427735813,4.0568636477809585,1.589316858925675,-0.5657855918420623
ABH FINANCIAL LIMITED,NICOSIA,2020,0.660704704,14.26846718,2.94022733,60.5191379,7.372082183,1.923470925,13.17266425,0.26631755,37295.10205,24641.04936,4.107579357,,,,-4.894555993157895,0.3124536947368421,2020-06-16 08:00:00,77.29380416870117,97.4657351175944,49.32102219263712,10.526617284677249,2.658052010162168,4.102959643940969,1.078486901490563,-0.4144482802501346
ABH FINANCIAL LIMITED,NICOSIA,2021,0.680226276,15.2503231,2.979365878,61.26612852,3.439020299,2.874019603,19.455081,0.570434959,41221.81329,28040.16054,3.458612059,,,,6.936355121315789,2.564898000105263,2021-06-16 12:00:00,82.07023620605469,103.8860009511312,54.54721323649088,10.626722844015468,2.7246006897142276,4.11522713753699,1.091710485256302,-0.38532977734039375
ABH FINANCIAL LIMITED,NICOSIA,2022,0.696566105,13.69185753,3.087757313,63.17727777,4.215033792,1.320020625,9.178617992,0.639670738,52933.9574,36872.00053,3.155643472,,,,3.122957375,9.903684152631579,2022-06-16 12:00:00,157.5831934611003,199.2730185190836,124.7958981196086,10.87680032873011,2.6168013152676153,4.145944707551085,1.1274450387244055,-0.3615925800003571
ABH FINANCIAL LIMITED,NICOSIA,2023,0.706677445,14.01940178,3.451218356,65.85610348,4.084099744,2.220646906,16.02331529,0.637088551,50403.41888,35618.9593,3.238326953,,,,-0.5379984658333333,5.977745703,2023-06-16 12:00:00,121.7001794179281,133.942325592041,116.1908276875814,10.827814286679411,2.640442211651872,4.187472111517444,1.2387273153683278,-0.34718094774201413
ABLV BANK AS,RIGA,2017,0.759977209,8.341126949,1.564257663,25.85181336,3.323868334,1.743634812,25.67113158,0.179380314,3984.03,3027.772,4.107888014,,,,3.413880947789474,1.650400191421053,2017-06-16 12:00:00,107.377311706543,117.4666633605957,93.90502103169759,8.29004914879662,2.121198333021366,3.252380747817107,0.4474113747176433,-0.27446683430930885
ABLV BANK AS,RIGA,2018,0.736492608,9.16594132,1.275295711,27.11446971,3.586008271,1.235829322,14.13135438,0.21959226,3828.052,2819.332,3.857958863,,,,2.726027871052632,1.703560482631579,2018-06-16 12:00:00,98.5529073079427,122.8477579752604,65.44431845347087,8.250111336597614,2.2154945841463003,3.3000675230300507,0.24317808191481793,-0.3058560797896974
ABLV BANK AS,RIGA,2019,0.622267668,12.60999102,4.194441775,26.38340872,9.445138519,-0.919661393,-8.73825806,1.038685116,2493.84,1551.836,2.420806371,,,,2.222830119736842,1.440696388105263,2019-06-16 12:00:00,90.94625282287598,112.7704283396403,60.5952517191569,7.821578970212501,2.534489437843347,3.272735355014273,1.4337602619347707,-0.4743849444051074
