Australia,AUS,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,3.88493233,2.738944295,0.723531157,2.80352716,1.911738676,3.115893443,1.906065238,1.377980034,1.896708392,1.531111868,-0.185773153,0.648500068,0.995812002,2.119926068,0.855301403,1.088300782,0.741438844,1.186265851,0.647495219,1.378345353,0.682490945,-1.556436301,1.968061646,2.950325584,0.603284936
Austria,AUT,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,3.355044661,3.12743665,0.880259098,1.152676331,0.450946527,2.099711169,1.549877317,2.943417859,3.391730827,1.143307119,-4.016340042,1.592577128,2.576448318,0.222450577,-0.562298943,-0.122370667,-0.11154019,0.89246914,1.550724086,1.92771306,1.000406953,-7.019825952,3.784719697,3.808956062,-1.811928227
Azerbaijan,AZE,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,6.461584076,10.19102927,9.051822038,8.625351066,9.376460364,8.301538479,26.66009477,33.03048777,23.59068541,8.457450126,7.050602519,3.806491021,-1.195842962,0.816684128,4.450020099,1.475936941,-0.103121365,-4.17717168,-0.778416126,0.624486168,1.635850481,-4.952701739,5.151500069,4.673439952,1.415979777
Burundi,BDI,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,-3.329950483,-2.86056588,-0.439187877,1.568534631,-4.274588198,1.010882046,-2.764880494,1.706713839,-0.277700517,0.637154646,-1.327694607,0.318221818,0.41151196,0.824080966,1.263599334,0.810602801,-5.980495612,-2.20613383,-1.772646486,-1.377139622,-1.457193033,-2.508461168,0.38116664,-0.824628692,-0.007284562
Belgium,BEL,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,3.305706514,3.465452571,0.75248291,1.251984606,0.61587978,3.123928918,1.760455594,1.8781832,2.918338349,-0.343452718,-2.80592074,1.928764196,0.38003457,0.116402578,-0.013148386,1.128595725,1.451893368,0.755268919,1.228866236,1.330652227,1.689753689,-5.711729808,6.488770413,2.136544076,0.192342045
Benin,BEN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,2.169593733,2.689647379,2.207364924,1.548959248,0.372024802,1.316512038,-1.467813821,0.811410157,2.982053319,1.849625069,-0.648436891,-0.839355824,-0.007428192,1.800064493,4.127606235,3.290504999,-1.181684836,0.335852248,2.603556527,3.624262545,3.824506878,0.951937861,4.238708959,3.420679455,3.561042475
Burkina Faso,BFA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,4.299232007,-1.106850828,3.420372815,1.193156955,4.507163311,1.250803724,5.293432973,2.986692134,1.001302627,2.731085634,-0.012474271,5.305144555,3.502706594,3.273591496,2.657295331,1.263996385,0.877785605,2.893498327,3.203256836,3.693513328,3.064453604,-0.695533987,4.14209566,-0.794519873,0.401957858
Bangladesh,BGD,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,2.684717105,3.305900935,3.100436692,1.92168942,2.926134543,3.50574324,4.930968203,5.388330721,5.939181512,5.076730246,4.124685812,4.373484664,5.174520877,5.204991119,4.678721918,4.747779227,5.291060808,5.803210397,5.266455113,6.080237769,6.687662727,2.271101294,5.716649087,5.954844841,4.693874309
Bulgaria,BGR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,-7.881074518,5.105057144,5.911159906,8.195214831,6.074062359,7.317404814,7.865502313,7.616849851,7.441488603,6.87712688,-2.722415576,2.226078677,2.746910765,1.334066,0.015418847,1.524868111,4.059411408,3.751778785,3.499175549,3.439130063,4.770081953,-3.387987666,8.542609992,10.55971654,2.396407611
Bahrain,BHR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,1.339020825,2.442157461,-0.14972112,0.8533771,2.208243364,-0.103815979,-1.336449595,-1.105353022,1.055400516,-0.434970499,-3.468434461,1.394890732,2.115445699,2.638951394,2.347595883,0.413894139,-0.9888553,-0.014526319,0.450232188,0.191457633,1.698724144,-3.565598605,3.586259002,4.25256128,1.565588065
